"Area.Code","Area.Name","variable","value"
"00AL","Greenwich","Persons.1981",211840
"00AM","Hackney","Persons.1981",180434
"00AN","Hammersmith and Fulham","Persons.1981",148447
"00AP","Haringey","Persons.1981",203553
"00AQ","Harrow","Persons.1981",196571
"00AR","Havering","Persons.1981",240849
"00AS","Hillingdon","Persons.1981",229913
"00AT","Hounslow","Persons.1981",200829
"00AU","Islington","Persons.1981",160890
"00AW","Kensington and Chelsea","Persons.1981",138837
"00AX","Kingston upon Thames","Persons.1981",132957
"00AY","Lambeth","Persons.1981",246426
"00AZ","Lewisham","Persons.1981",231324
"00BA","Merton","Persons.1981",166100
"00BB","Newham","Persons.1981",209494
"00BC","Redbridge","Persons.1981",226280
"00BD","Richmond upon Thames","Persons.1981",159693
"00BE","Southwark","Persons.1981",211858
"00BF","Sutton","Persons.1981",169343
"00BG","Tower Hamlets","Persons.1981",142841
"00BH","Waltham Forest","Persons.1981",215947
"00BJ","Wandsworth","Persons.1981",254898
"00BK","Westminster","Persons.1981",191098
"UKI1","Inner London","Persons.1981",2497978
"UKI2","Outer London","Persons.1981",4215187
"H","Greater London","Persons.1981",6713165
"00AA","City of London","Persons.1991",4230
"00AB","Barking and Dagenham","Persons.1991",140728
"00AC","Barnet","Persons.1991",284106
"00AD","Bexley","Persons.1991",211404
"00AE","Brent","Persons.1991",227903
"00AF","Bromley","Persons.1991",282920
"00AG","Camden","Persons.1991",165274
"00AH","Croydon","Persons.1991",301904
"00AJ","Ealing","Persons.1991",264867
"00AK","Enfield","Persons.1991",250750
"00AL","Greenwich","Persons.1991",201545
"00AM","Hackney","Persons.1991",162772
"00AN","Hammersmith and Fulham","Persons.1991",137720
"00AP","Haringey","Persons.1991",186490
"00AQ","Harrow","Persons.1991",194893
"00AR","Havering","Persons.1991",225144
"00AS","Hillingdon","Persons.1991",228476
"00AT","Hounslow","Persons.1991",196602
"00AU","Islington","Persons.1991",154873
"00AW","Kensington and Chelsea","Persons.1991",126285
"00AX","Kingston upon Thames","Persons.1991",131436
"00AY","Lambeth","Persons.1991",220252
"00AZ","Lewisham","Persons.1991",215483
"00BA","Merton","Persons.1991",162741
"00BB","Newham","Persons.1991",200678
"00BC","Redbridge","Persons.1991",221107
"00BD","Richmond upon Thames","Persons.1991",155698
"00BE","Southwark","Persons.1991",198916
"00BF","Sutton","Persons.1991",164868
"00BG","Tower Hamlets","Persons.1991",153255
"00BH","Waltham Forest","Persons.1991",203343
"00BJ","Wandsworth","Persons.1991",239162
"00BK","Westminster","Persons.1991",177743
"UKI1","Inner London","Persons.1991",2343133
"UKI2","Outer London","Persons.1991",4050435
"H","Greater London","Persons.1991",6393568
"00AA","City of London","Persons.2001",7181
"00AB","Barking and Dagenham","Persons.2001",163944
"00AC","Barnet","Persons.2001",314565
"00AD","Bexley","Persons.2001",218301
"00AE","Brent","Persons.2001",263466
"00AF","Bromley","Persons.2001",295535
"00AG","Camden","Persons.2001",198022
"00AH","Croydon","Persons.2001",330584
"00AJ","Ealing","Persons.2001",300943
"00AK","Enfield","Persons.2001",273565
"00AL","Greenwich","Persons.2001",214402
"00AM","Hackney","Persons.2001",202825
"00AN","Hammersmith and Fulham","Persons.2001",165238
"00AP","Haringey","Persons.2001",216505
"00AQ","Harrow","Persons.2001",206822
"00AR","Havering","Persons.2001",224262
"00AS","Hillingdon","Persons.2001",243006
"00AT","Hounslow","Persons.2001",212352
"00AU","Islington","Persons.2001",175789
"00AW","Kensington and Chelsea","Persons.2001",158921
"00AX","Kingston upon Thames","Persons.2001",147271
"00AY","Lambeth","Persons.2001",266170
"00AZ","Lewisham","Persons.2001",248917
"00BA","Merton","Persons.2001",187919
"00BB","Newham","Persons.2001",243884
"00BC","Redbridge","Persons.2001",238623
"00BD","Richmond upon Thames","Persons.2001",172330
"00BE","Southwark","Persons.2001",244867
"00BF","Sutton","Persons.2001",179767
"00BG","Tower Hamlets","Persons.2001",196083
"00BH","Waltham Forest","Persons.2001",218335
"00BJ","Wandsworth","Persons.2001",260379
"00BK","Westminster","Persons.2001",181284
"UKI1","Inner London","Persons.2001",2766065
"UKI2","Outer London","Persons.2001",4405992
"H","Greater London","Persons.2001",7172057
